#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       2.228803e-02       1.508809e-03       8.034530e-03       2.188091e-02       6.087992e-03       1.368361e-02
          10       2.872412e-02       8.481022e-03       1.725268e-02       1.303000e-01       1.860958e-02       6.104146e-02
          20       6.773364e-02       8.948210e-03       3.495570e-02       1.916503e-01       2.271211e-02       1.135583e-01
          30       7.142750e-02       4.893176e-03       4.667057e-02       2.545815e-01       3.199575e-02       1.061538e-01
          40       1.441185e-01       8.494239e-03       6.370616e-02       2.673940e-01       1.113369e-01       1.884538e-01
          50       1.372513e-01       1.746833e-02       8.568283e-02       3.773883e-01       1.135773e-01       2.330415e-01
          60       8.620810e-02       1.156677e-02       5.361644e-02       2.237599e-01       4.936705e-02       1.452489e-01
          70       1.230267e-01       1.562521e-02       7.512496e-02       2.607669e-01       7.543531e-02       1.579263e-01
          80       5.654512e-02       2.104797e-03       3.013175e-02       1.199794e-01       3.478458e-02       7.641415e-02
          90       4.328991e-02       4.280196e-03       2.001500e-02       1.130742e-01       1.790625e-02       6.950620e-02
         100       5.402939e-02       5.016698e-03       2.930741e-02       1.209112e-01       1.872826e-02       7.898609e-02
         110       5.103435e-02       3.639325e-03       2.959797e-02       1.740918e-01       5.262093e-02       1.006987e-01
         120       9.574526e-02       4.730428e-03       4.692013e-02       2.148212e-01       4.487295e-02       1.178456e-01
         130       1.730319e-01       1.483992e-02       7.039256e-02       3.094484e-01       1.176078e-01       1.946800e-01
         140       7.355781e-02       7.244323e-03       4.612475e-02       2.566639e-01       2.320944e-02       1.328541e-01
         150       8.402885e-02       2.796386e-02       4.802507e-02       2.385135e-01       1.208384e-01       1.810647e-01
         160       6.326818e-02       4.672399e-03       3.541917e-02       2.620231e-01       5.210022e-02       1.319659e-01
         170       7.959818e-02       1.410874e-02       3.753498e-02       1.442033e-01       1.974934e-02       9.590983e-02
         180       7.825702e-02       2.013410e-02       3.546313e-02       1.114630e-01       4.008596e-02       8.400734e-02
         190       7.153448e-02       1.293117e-02       3.339990e-02       1.765458e-01       3.584892e-02       1.004146e-01
         200       5.321565e-02       1.125725e-02       3.611965e-02       1.326998e-01       2.574429e-02       8.157239e-02
         210       1.519359e-01       2.280344e-02       6.782517e-02       2.692582e-01       4.555352e-02       1.699066e-01
         220       2.025571e-01       1.371858e-02       9.192958e-02       3.970264e-01       1.240741e-01       2.486997e-01
         230       1.197920e-01       1.443904e-02       5.510669e-02       2.416422e-01       8.199188e-02       1.457143e-01
         240       8.132281e-02       1.350448e-02       3.826907e-02       1.135792e-01       2.560608e-02       8.310785e-02
         250       6.322485e-02       1.572143e-02       3.610544e-02       1.367125e-01       5.949758e-02       9.404159e-02
         260       5.039968e-02       5.223324e-03       2.920972e-02       9.397940e-02       3.427834e-02       6.514416e-02
         270       7.035678e-02       5.559698e-03       3.298898e-02       1.027340e-01       3.745823e-02       8.269637e-02
         280       9.742080e-02       9.707954e-03       4.177716e-02       1.887684e-01       8.412459e-02       1.322560e-01
         290       1.707231e-01       2.622206e-02       7.041296e-02       2.826493e-01       1.080026e-01       2.038187e-01
         300       1.335227e-01       1.566378e-02       5.899688e-02       2.696460e-01       4.183504e-02       1.531249e-01
         310       3.290267e-02       1.272143e-02       2.240438e-02       1.801115e-01       4.950617e-02       8.659699e-02
         320       3.058892e-02       1.181928e-02       2.292321e-02       1.880219e-01       4.854939e-02       1.091626e-01
         330       6.703800e-02       4.882896e-03       2.937455e-02       2.805605e-01       6.393309e-02       1.338787e-01
         340       2.725233e-02       7.637077e-03       1.723612e-02       1.696602e-01       5.321916e-02       8.731816e-02
         350       4.147176e-02       1.488369e-02       2.284195e-02       1.369975e-01       3.704323e-02       7.817180e-02
         360       4.582561e-02       1.180147e-02       2.827557e-02       1.259548e-01       8.315840e-02       1.114866e-01
         370       1.512851e-01       1.706859e-02       6.364935e-02       2.707045e-01       3.742305e-02       1.765122e-01
         380       1.460650e-01       1.649178e-02       6.957232e-02       3.573309e-01       4.232109e-02       1.904034e-01
         390       7.091892e-02       1.216921e-02       3.403684e-02       2.397052e-01       4.222575e-02       1.183883e-01
         400       7.727945e-02       1.936999e-02       4.009187e-02       1.610602e-01       6.426780e-02       1.128690e-01
         410       1.037317e-01       6.384022e-03       3.972663e-02       1.871413e-01       6.065539e-02       9.307883e-02
         420       1.591274e-01       1.273836e-02       6.356858e-02       3.945681e-01       5.662031e-02       1.894653e-01
         430       6.127972e-02       1.067009e-02       2.941273e-02       1.138100e-01       4.684670e-02       7.555024e-02
         440       7.977758e-02       1.986246e-02       4.422817e-02       2.179964e-01       5.765940e-02       1.301736e-01
         450       1.638985e-01       6.238291e-03       7.043000e-02       2.196906e-01       8.908858e-02       1.623043e-01
         460       2.571626e-01       3.545738e-02       1.096232e-01       3.622752e-01       9.094613e-02       2.211435e-01
         470       1.206929e-01       4.097689e-02       7.099367e-02       2.935277e-01       3.970328e-02       1.509326e-01
         480       9.382954e-02       3.314238e-02       6.360958e-02       2.931906e-01       5.562780e-02       1.583886e-01
         490       1.539171e-01       2.314815e-02       6.699773e-02       3.435296e-01       5.057957e-02       1.498976e-01
         500       6.553464e-02       1.853856e-02       3.615584e-02       1.386439e-01       2.659104e-02       8.038214e-02
         510       6.031522e-02       2.870594e-02       4.108893e-02       2.970443e-01       3.806145e-02       1.234252e-01
         520       7.422018e-02       1.710080e-02       3.723014e-02       1.625326e-01       4.314171e-02       1.054201e-01
         530       2.442259e-01       1.823297e-02       1.163529e-01       3.884972e-01       4.472706e-02       2.584176e-01
         540       5.075379e-02       1.109028e-02       2.519701e-02       1.225322e-01       7.407450e-02       1.042406e-01
         550       6.174617e-02       1.618298e-02       3.218319e-02       8.946305e-02       4.777324e-02       7.434297e-02
         560       8.942026e-02       2.176106e-02       5.694227e-02       2.185405e-01       3.948854e-02       1.285482e-01
         570       1.205485e-01       4.465428e-02       8.309841e-02       3.194088e-01       4.429082e-02       1.613304e-01
         580       1.499287e-01       6.139366e-02       1.047891e-01       2.564162e-01       7.443042e-02       1.579013e-01
         590       1.667271e-01       6.087265e-02       8.712866e-02       3.752580e-01       1.145947e-01       1.943227e-01
         600       1.641587e-01       4.217663e-02       8.048991e-02       2.633776e-01       5.574106e-02       1.326620e-01
         610       1.069776e-01       3.286295e-02       6.346593e-02       2.987768e-01       6.967810e-02       1.655885e-01
         620       8.244829e-02       4.071441e-02       6.553407e-02       4.634026e-01       1.034041e-01       2.115859e-01
         630       7.535015e-02       2.964896e-02       4.302022e-02       1.943145e-01       7.960035e-02       1.333708e-01
         640       7.320922e-02       5.113808e-03       2.948266e-02       1.410644e-01       4.024017e-02       8.721254e-02
         650       1.214403e-01       3.040187e-02       6.695420e-02       2.848551e-01       9.185699e-02       1.617238e-01
         660       6.810717e-02       2.134181e-02       4.184344e-02       2.082297e-01       8.526891e-02       1.500975e-01
         670       1.012460e-01       4.290510e-02       6.503230e-02       2.884785e-01       6.921604e-02       1.695639e-01
         680       8.955206e-02       3.253753e-02       5.722628e-02       3.634347e-01       7.843696e-02       1.803428e-01
         690       7.468097e-02       6.508099e-03       3.399170e-02       1.453714e-01       4.443209e-02       1.082728e-01
         700       3.855116e-02       5.637360e-03       2.417812e-02       1.270301e-01       3.714567e-02       8.182294e-02
         710       1.153712e-01       4.915119e-02       8.995721e-02       5.557447e-01       4.963022e-02       2.068853e-01
         720       1.670388e-01       6.795330e-02       1.180400e-01       4.793242e-01       1.237714e-01       2.140631e-01
         730       1.471530e-01       2.685678e-02       7.799704e-02       2.642179e-01       4.436747e-02       1.266564e-01
         740       2.590854e-01       5.115008e-02       1.195116e-01       3.949132e-01       3.547556e-02       1.944639e-01
         750       2.334454e-01       3.088953e-02       9.940984e-02       3.710996e-01       3.100933e-02       1.859424e-01
         760       6.691197e-02       1.995237e-02       4.061274e-02       1.475980e-01       5.576882e-02       1.023003e-01
         770       1.601664e-01       4.803570e-02       1.104346e-01       4.719137e-01       8.572317e-02       1.984927e-01
         780       1.986111e-01       2.795641e-02       8.717712e-02       2.549725e-01       2.761717e-02       1.538123e-01
         790       1.876547e-01       3.412239e-02       7.986281e-02       2.393799e-01       3.366999e-02       1.480085e-01
         800       2.837909e-02       8.415664e-03       2.129902e-02       1.107553e-01       3.887798e-02       6.473127e-02
         810       9.649313e-02       1.516203e-02       6.524894e-02       3.274885e-01       3.722885e-02       1.514099e-01
         820       1.797279e-01       2.637533e-02       1.017941e-01       3.667770e-01       3.531524e-02       1.901953e-01
         830       2.130352e-01       2.158556e-02       8.713956e-02       2.685812e-01       3.485283e-02       1.668589e-01
         840       9.862415e-02       1.145253e-02       3.816402e-02       1.123445e-01       3.260646e-02       7.060190e-02
         850       1.630607e-01       1.439829e-02       7.422841e-02       1.930301e-01       9.174744e-02       1.500073e-01
         860       3.274412e-01       2.869738e-02       1.289975e-01       3.006033e-01       2.140971e-02       1.822270e-01
         870       2.943310e-01       1.723544e-02       1.088160e-01       3.577494e-01       2.387180e-02       1.938281e-01
         880       8.136157e-02       1.858489e-02       5.259179e-02       2.145074e-01       3.539516e-02       9.988035e-02
         890       9.569507e-02       2.168271e-02       4.631876e-02       1.431061e-01       3.586786e-02       9.407490e-02
         900       2.715296e-01       2.047394e-02       1.047119e-01       3.710226e-01       4.423417e-02       1.864564e-01
         910       1.009684e-01       1.347411e-02       4.458945e-02       1.928874e-01       2.231007e-02       8.795691e-02
         920       9.267495e-02       7.649388e-03       3.584125e-02       1.598575e-01       4.049384e-02       9.853684e-02
         930       9.305903e-02       9.312863e-03       4.223087e-02       1.640950e-01       3.988248e-02       1.021076e-01
         940       2.349624e-01       3.357032e-02       9.342195e-02       3.297831e-01       2.519022e-02       1.433749e-01
         950       2.593067e-01       4.095961e-02       1.021864e-01       2.553054e-01       3.265184e-02       1.518898e-01
         960       1.995907e-01       2.409874e-02       7.390145e-02       1.967681e-01       8.225975e-02       1.231108e-01
         970       1.989259e-01       3.057436e-02       7.618086e-02       1.615818e-01       6.514901e-02       1.091482e-01
         980       2.074688e-01       3.561330e-02       9.285265e-02       2.397780e-01       2.767770e-02       1.453461e-01
         990       2.282104e-01       3.415826e-02       9.711016e-02       2.565748e-01       3.376569e-02       1.480737e-01
        1000       1.622748e-01       2.414058e-02       6.547822e-02       1.706830e-01       4.215965e-02       1.156958e-01
