#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      2.17e+01      1.36e+00      6.85e-01    1.0e-03
    100      2.50e+00      5.37e-01      7.87e-02    1.0e-03
    200      2.56e+00      1.49e-01      8.10e-02    1.0e-03
    300      2.51e+00      5.91e-02      7.95e-02    1.0e-03
    400      2.67e+00      5.30e-02      8.45e-02    1.0e-03
    500      2.88e+00      5.73e-02      9.12e-02    1.0e-03
    600      2.20e+00      5.74e-02      6.95e-02    1.0e-03
    700      2.52e+00      4.47e-02      7.96e-02    1.0e-03
    800      2.36e+00      6.18e-02      7.45e-02    1.0e-03
    900      1.90e+00      1.60e-02      6.00e-02    1.0e-03
   1000      2.72e+00      4.48e-02      8.61e-02    1.0e-03
   1100      2.57e+00      4.28e-02      8.12e-02    1.0e-03
   1200      2.50e+00      4.80e-02      7.89e-02    1.0e-03
   1300      2.27e+00      4.03e-02      7.19e-02    1.0e-03
   1400      2.11e+00      4.68e-02      6.67e-02    1.0e-03
   1500      3.41e+00      3.94e-02      1.08e-01    1.0e-03
   1600      2.21e+00      4.75e-02      7.00e-02    1.0e-03
   1700      1.82e+00      3.20e-02      5.74e-02    1.0e-03
   1800      2.77e+00      3.61e-02      8.75e-02    1.0e-03
   1900      2.37e+00      2.01e-02      7.50e-02    1.0e-03
   2000      2.30e+00      2.42e-02      7.26e-02    1.0e-03
   2100      2.25e+00      6.58e-02      7.11e-02    1.0e-03
   2200      2.39e+00      2.64e-02      7.57e-02    1.0e-03
   2300      2.03e+00      4.65e-02      6.41e-02    1.0e-03
   2400      2.50e+00      4.67e-02      7.92e-02    1.0e-03
   2500      2.32e+00      3.23e-02      7.34e-02    1.0e-03
   2600      2.27e+00      1.60e-02      7.19e-02    1.0e-03
   2700      3.17e+00      5.37e-02      1.00e-01    1.0e-03
   2800      2.40e+00      4.31e-02      7.58e-02    1.0e-03
   2900      1.13e+00      7.76e-02      3.57e-02    1.0e-03
   3000      2.53e+00      2.33e-02      8.00e-02    1.0e-03
   3100      3.22e+00      7.07e-02      1.02e-01    1.0e-03
   3200      2.79e+00      4.68e-02      8.83e-02    1.0e-03
   3300      2.68e+00      4.95e-02      8.47e-02    1.0e-03
   3400      2.32e+00      6.05e-02      7.32e-02    1.0e-03
   3500      2.14e+00      3.90e-02      6.77e-02    1.0e-03
   3600      1.44e+00      4.99e-02      4.54e-02    1.0e-03
   3700      2.28e+00      5.82e-02      7.22e-02    1.0e-03
   3800      2.46e+00      3.00e-02      7.77e-02    1.0e-03
   3900      2.77e+00      5.65e-02      8.77e-02    1.0e-03
   4000      2.52e+00      5.48e-02      7.96e-02    1.0e-03
   4100      2.03e+00      4.37e-02      6.43e-02    1.0e-03
   4200      1.89e+00      3.39e-02      5.98e-02    1.0e-03
   4300      2.79e+00      1.23e-01      8.82e-02    1.0e-03
   4400      2.02e+00      6.53e-02      6.40e-02    1.0e-03
   4500      2.15e+00      4.47e-02      6.78e-02    1.0e-03
   4600      2.13e+00      4.07e-02      6.75e-02    1.0e-03
   4700      2.18e+00      3.10e-02      6.91e-02    1.0e-03
   4800      1.98e+00      4.46e-02      6.26e-02    1.0e-03
   4900      2.30e+00      4.88e-02      7.27e-02    1.0e-03
   5000      2.01e+00      3.46e-02      6.51e-02    9.5e-04
   5100      1.91e+00      3.01e-02      6.20e-02    9.5e-04
   5200      2.30e+00      3.30e-02      7.46e-02    9.5e-04
   5300      2.50e+00      5.49e-02      8.12e-02    9.5e-04
   5400      1.73e+00      3.83e-02      5.62e-02    9.5e-04
   5500      2.60e+00      5.67e-02      8.44e-02    9.5e-04
   5600      2.38e+00      2.70e-02      7.72e-02    9.5e-04
   5700      2.02e+00      4.48e-02      6.54e-02    9.5e-04
   5800      2.04e+00      1.49e-02      6.61e-02    9.5e-04
   5900      1.63e+00      9.61e-03      5.30e-02    9.5e-04
   6000      1.99e+00      3.56e-02      6.45e-02    9.5e-04
   6100      1.61e+00      2.17e-02      5.21e-02    9.5e-04
   6200      2.05e+00      2.66e-02      6.66e-02    9.5e-04
   6300      1.73e+00      4.06e-02      5.62e-02    9.5e-04
   6400      1.97e+00      1.93e-02      6.38e-02    9.5e-04
   6500      2.32e+00      3.22e-02      7.52e-02    9.5e-04
   6600      1.65e+00      1.52e-02      5.35e-02    9.5e-04
   6700      2.20e+00      3.94e-02      7.15e-02    9.5e-04
   6800      2.29e+00      4.92e-02      7.45e-02    9.5e-04
   6900      2.20e+00      3.70e-02      7.14e-02    9.5e-04
   7000      1.45e+00      2.51e-02      4.72e-02    9.5e-04
   7100      2.49e+00      7.14e-02      8.08e-02    9.5e-04
   7200      2.26e+00      5.91e-02      7.32e-02    9.5e-04
   7300      1.94e+00      3.71e-02      6.29e-02    9.5e-04
   7400      2.37e+00      3.95e-02      7.69e-02    9.5e-04
   7500      1.57e+00      2.70e-02      5.11e-02    9.5e-04
   7600      9.78e-01      2.18e-02      3.17e-02    9.5e-04
   7700      2.11e+00      2.68e-02      6.86e-02    9.5e-04
   7800      2.86e+00      4.69e-02      9.27e-02    9.5e-04
   7900      1.31e+00      3.17e-02      4.24e-02    9.5e-04
   8000      2.40e+00      2.51e-02      7.80e-02    9.5e-04
   8100      2.33e+00      1.92e-02      7.57e-02    9.5e-04
   8200      2.36e+00      2.90e-02      7.65e-02    9.5e-04
   8300      2.05e+00      3.68e-02      6.64e-02    9.5e-04
   8400      1.84e+00      4.42e-02      5.97e-02    9.5e-04
   8500      1.85e+00      2.41e-02      5.99e-02    9.5e-04
   8600      2.13e+00      3.03e-02      6.92e-02    9.5e-04
   8700      2.08e+00      2.26e-02      6.76e-02    9.5e-04
   8800      1.87e+00      5.77e-02      6.08e-02    9.5e-04
   8900      2.77e+00      4.06e-02      8.99e-02    9.5e-04
   9000      2.54e+00      6.60e-02      8.24e-02    9.5e-04
   9100      1.25e+00      8.16e-02      4.05e-02    9.5e-04
   9200      1.26e+00      4.93e-02      4.10e-02    9.5e-04
   9300      1.33e+00      5.10e-02      4.33e-02    9.5e-04
   9400      1.80e+00      1.79e-02      5.85e-02    9.5e-04
   9500      2.67e+00      3.03e-02      8.68e-02    9.5e-04
   9600      2.10e+00      3.31e-02      6.83e-02    9.5e-04
   9700      2.27e+00      8.61e-02      7.38e-02    9.5e-04
   9800      1.73e+00      7.02e-02      5.60e-02    9.5e-04
   9900      1.99e+00      1.25e-01      6.45e-02    9.5e-04
  10000      1.85e+00      1.85e-02      6.16e-02    9.0e-04
  10100      1.61e+00      5.68e-02      5.35e-02    9.0e-04
  10200      1.74e+00      6.82e-02      5.79e-02    9.0e-04
  10300      2.36e+00      3.80e-02      7.87e-02    9.0e-04
  10400      2.69e+00      4.50e-02      8.96e-02    9.0e-04
  10500      1.92e+00      4.08e-02      6.40e-02    9.0e-04
  10600      2.11e+00      4.94e-02      7.01e-02    9.0e-04
  10700      2.29e+00      2.73e-02      7.63e-02    9.0e-04
  10800      2.41e+00      3.24e-02      8.03e-02    9.0e-04
  10900      1.70e+00      2.09e-02      5.68e-02    9.0e-04
  11000      2.21e+00      3.04e-02      7.37e-02    9.0e-04
  11100      1.61e+00      1.91e-02      5.37e-02    9.0e-04
  11200      1.85e+00      5.69e-02      6.15e-02    9.0e-04
  11300      1.76e+00      2.39e-02      5.87e-02    9.0e-04
  11400      1.97e+00      2.69e-02      6.58e-02    9.0e-04
  11500      1.97e+00      2.90e-02      6.56e-02    9.0e-04
  11600      1.93e+00      7.52e-02      6.42e-02    9.0e-04
  11700      2.14e+00      3.34e-02      7.14e-02    9.0e-04
  11800      1.63e+00      2.52e-02      5.44e-02    9.0e-04
  11900      2.50e+00      3.01e-02      8.31e-02    9.0e-04
  12000      1.39e+00      2.76e-02      4.62e-02    9.0e-04
  12100      2.40e+00      2.21e-02      7.98e-02    9.0e-04
  12200      1.43e+00      1.27e-02      4.76e-02    9.0e-04
  12300      1.44e+00      1.52e-02      4.79e-02    9.0e-04
  12400      1.97e+00      2.53e-02      6.55e-02    9.0e-04
  12500      1.83e+00      4.20e-02      6.08e-02    9.0e-04
  12600      1.57e+00      2.63e-02      5.24e-02    9.0e-04
  12700      1.80e+00      2.40e-02      6.01e-02    9.0e-04
  12800      2.21e+00      2.36e-02      7.35e-02    9.0e-04
  12900      1.90e+00      1.72e-02      6.34e-02    9.0e-04
  13000      1.83e+00      3.20e-02      6.08e-02    9.0e-04
  13100      1.61e+00      3.39e-02      5.35e-02    9.0e-04
  13200      1.45e+00      2.68e-02      4.85e-02    9.0e-04
  13300      1.44e+00      1.05e-02      4.81e-02    9.0e-04
  13400      2.38e+00      9.73e-02      7.92e-02    9.0e-04
  13500      1.99e+00      1.93e-02      6.64e-02    9.0e-04
  13600      1.75e+00      1.92e-02      5.81e-02    9.0e-04
  13700      2.02e+00      3.28e-02      6.72e-02    9.0e-04
  13800      1.63e+00      4.41e-02      5.43e-02    9.0e-04
  13900      2.24e+00      4.35e-02      7.47e-02    9.0e-04
  14000      1.82e+00      5.18e-02      6.07e-02    9.0e-04
  14100      2.30e+00      3.01e-02      7.66e-02    9.0e-04
  14200      1.54e+00      2.52e-02      5.11e-02    9.0e-04
  14300      1.89e+00      4.39e-02      6.30e-02    9.0e-04
  14400      1.77e+00      5.51e-02      5.89e-02    9.0e-04
  14500      1.57e+00      7.43e-02      5.23e-02    9.0e-04
  14600      2.07e+00      3.60e-02      6.89e-02    9.0e-04
  14700      1.81e+00      4.37e-02      6.04e-02    9.0e-04
  14800      2.17e+00      2.09e-02      7.24e-02    9.0e-04
  14900      1.77e+00      2.96e-02      5.88e-02    9.0e-04
  15000      1.59e+00      4.21e-02      5.42e-02    8.6e-04
  15100      2.20e+00      1.87e-02      7.53e-02    8.6e-04
  15200      1.72e+00      2.72e-02      5.88e-02    8.6e-04
  15300      1.72e+00      3.44e-02      5.87e-02    8.6e-04
  15400      1.61e+00      1.22e-02      5.50e-02    8.6e-04
  15500      1.96e+00      1.78e-02      6.70e-02    8.6e-04
  15600      1.48e+00      2.34e-02      5.06e-02    8.6e-04
  15700      2.06e+00      1.41e-02      7.04e-02    8.6e-04
  15800      1.61e+00      3.98e-02      5.49e-02    8.6e-04
  15900      1.42e+00      1.93e-02      4.86e-02    8.6e-04
  16000      1.88e+00      2.95e-02      6.43e-02    8.6e-04
  16100      1.90e+00      8.89e-03      6.50e-02    8.6e-04
  16200      1.90e+00      8.98e-03      6.51e-02    8.6e-04
  16300      1.79e+00      2.54e-02      6.12e-02    8.6e-04
