#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      1.46e+01      4.56e-01      4.63e-01    1.0e-03
    100      5.20e+00      5.01e-02      1.64e-01    1.0e-03
    200      5.74e+00      5.73e-02      1.82e-01    1.0e-03
    300      3.77e+00      7.41e-02      1.19e-01    1.0e-03
    400      5.26e+00      1.79e-01      1.66e-01    1.0e-03
    500      4.07e+00      7.93e-02      1.29e-01    1.0e-03
    600      2.87e+00      5.11e-02      9.09e-02    1.0e-03
    700      3.85e+00      2.77e-02      1.22e-01    1.0e-03
    800      3.76e+00      1.01e-01      1.19e-01    1.0e-03
    900      2.51e+00      1.21e-01      7.94e-02    1.0e-03
   1000      2.63e+00      8.48e-02      8.31e-02    1.0e-03
   1100      2.40e+00      3.03e-02      7.58e-02    1.0e-03
   1200      3.13e+00      7.94e-02      9.90e-02    1.0e-03
   1300      3.15e+00      5.30e-02      9.97e-02    1.0e-03
   1400      2.41e+00      2.55e-02      7.63e-02    1.0e-03
   1500      2.95e+00      3.48e-02      9.34e-02    1.0e-03
   1600      2.19e+00      4.88e-02      6.91e-02    1.0e-03
   1700      3.55e+00      7.81e-02      1.12e-01    1.0e-03
   1800      2.68e+00      6.59e-02      8.48e-02    1.0e-03
   1900      3.03e+00      6.97e-02      9.58e-02    1.0e-03
   2000      3.89e+00      5.75e-02      1.23e-01    1.0e-03
   2100      2.46e+00      6.67e-02      7.78e-02    1.0e-03
   2200      2.58e+00      4.72e-02      8.14e-02    1.0e-03
   2300      2.82e+00      4.15e-02      8.93e-02    1.0e-03
   2400      3.98e+00      6.24e-02      1.26e-01    1.0e-03
   2500      2.27e+00      4.54e-02      7.18e-02    1.0e-03
   2600      1.95e+00      5.57e-02      6.18e-02    1.0e-03
   2700      3.09e+00      5.14e-02      9.76e-02    1.0e-03
   2800      2.62e+00      6.18e-02      8.30e-02    1.0e-03
   2900      2.70e+00      2.42e-02      8.55e-02    1.0e-03
   3000      2.91e+00      2.79e-02      9.19e-02    1.0e-03
   3100      2.61e+00      5.35e-02      8.24e-02    1.0e-03
   3200      2.56e+00      4.94e-02      8.10e-02    1.0e-03
   3300      3.14e+00      8.79e-02      9.94e-02    1.0e-03
   3400      2.56e+00      3.62e-02      8.08e-02    1.0e-03
   3500      2.71e+00      5.70e-02      8.56e-02    1.0e-03
   3600      2.64e+00      2.74e-02      8.35e-02    1.0e-03
   3700      3.16e+00      4.89e-02      1.00e-01    1.0e-03
   3800      1.84e+00      3.01e-02      5.80e-02    1.0e-03
   3900      3.34e+00      3.93e-02      1.05e-01    1.0e-03
   4000      2.74e+00      2.38e-02      8.65e-02    1.0e-03
   4100      2.80e+00      3.79e-02      8.86e-02    1.0e-03
   4200      3.06e+00      4.58e-02      9.67e-02    1.0e-03
   4300      3.43e+00      4.75e-02      1.08e-01    1.0e-03
   4400      2.58e+00      7.96e-02      8.16e-02    1.0e-03
   4500      1.92e+00      5.09e-02      6.09e-02    1.0e-03
   4600      2.29e+00      4.71e-02      7.24e-02    1.0e-03
   4700      2.30e+00      2.90e-02      7.28e-02    1.0e-03
   4800      3.74e+00      6.03e-02      1.18e-01    1.0e-03
   4900      1.97e+00      5.78e-02      6.22e-02    1.0e-03
   5000      2.49e+00      3.25e-02      8.07e-02    9.5e-04
   5100      2.35e+00      7.63e-02      7.62e-02    9.5e-04
   5200      1.48e+00      3.53e-02      4.80e-02    9.5e-04
   5300      2.31e+00      4.16e-02      7.49e-02    9.5e-04
   5400      1.84e+00      7.17e-02      5.97e-02    9.5e-04
   5500      2.47e+00      3.04e-02      8.00e-02    9.5e-04
   5600      1.46e+00      3.34e-02      4.73e-02    9.5e-04
   5700      2.73e+00      4.52e-02      8.86e-02    9.5e-04
   5800      2.34e+00      1.25e-01      7.59e-02    9.5e-04
   5900      2.97e+00      5.84e-02      9.63e-02    9.5e-04
   6000      2.11e+00      4.52e-02      6.84e-02    9.5e-04
   6100      2.78e+00      2.61e-02      9.01e-02    9.5e-04
   6200      2.34e+00      5.80e-02      7.60e-02    9.5e-04
   6300      2.02e+00      4.48e-02      6.57e-02    9.5e-04
   6400      1.81e+00      4.48e-02      5.89e-02    9.5e-04
   6500      2.38e+00      3.63e-02      7.74e-02    9.5e-04
   6600      2.94e+00      5.69e-02      9.56e-02    9.5e-04
   6700      2.51e+00      3.10e-02      8.14e-02    9.5e-04
   6800      2.27e+00      4.56e-02      7.36e-02    9.5e-04
   6900      3.05e+00      6.93e-02      9.89e-02    9.5e-04
   7000      2.99e+00      5.04e-02      9.71e-02    9.5e-04
   7100      3.34e+00      6.89e-02      1.08e-01    9.5e-04
   7200      1.75e+00      5.55e-02      5.67e-02    9.5e-04
   7300      1.17e+00      2.36e-02      3.80e-02    9.5e-04
   7400      2.74e+00      5.79e-02      8.89e-02    9.5e-04
   7500      2.49e+00      4.04e-02      8.07e-02    9.5e-04
   7600      2.65e+00      4.47e-02      8.61e-02    9.5e-04
   7700      2.66e+00      4.59e-02      8.64e-02    9.5e-04
   7800      2.61e+00      6.04e-02      8.46e-02    9.5e-04
   7900      2.93e+00      4.72e-02      9.52e-02    9.5e-04
   8000      2.32e+00      3.96e-02      7.53e-02    9.5e-04
   8100      3.00e+00      3.78e-02      9.75e-02    9.5e-04
   8200      2.23e+00      3.65e-02      7.23e-02    9.5e-04
   8300      2.18e+00      4.91e-02      7.08e-02    9.5e-04
   8400      2.04e+00      1.13e-01      6.63e-02    9.5e-04
   8500      2.11e+00      2.86e-02      6.84e-02    9.5e-04
   8600      3.00e+00      4.90e-02      9.74e-02    9.5e-04
